card_code,store_name,store_address
02AR5263,THE TRUCK PATCH,"PO BOX 1569, MOUNTAIN HOME, AR 72653"
02AR5263,TRUCK PATCH,"1602 HWY 62 E, MOUNTAIN HOME, AR 72653"
02AR6183,OLDE FASHIONED FOODS INC,"123 N 18TH, FORT SMITH, AR 72901"
02AR6415,ANN'S HEALTH FOOD STORE,"9800 HIGHWAY 107, SHERWOOD, AR 72120"
02AR6415,ANN'S HEALTH FOOD,"9800 HWY 107, SHERWOOD, AR 72120"
02AR6415,ANN'S HEALTH FOOD        @,"9800 AR-107, SHERWOOD, AR 72120"
02AR6800,VILLAGE NUTRITION INC.,"3925 N HWY 7 STE C, HOT SPRINGS VILLAGE, AR 71909"
02AR6800,VILLAGE NUTRITION,"3925 N HIGHWAY 7, HOT SPRINGS VILLAGE, AR 71909"
02AR6800,VILLAGE NUTRITION,"3925 NORTH HWY 7, STE C, HOTSPRING VILL., AR 71909"
02AR6944,COUNTRY CUPBOARD NAT FDS,"122 E 4TH ST, RUSSELLVILLE, AR 72801"
02AR7558,OZARK NATURAL FOODS,"380 N. COLLEGE AVE, FAYETTEVILLE, AR 72701"
02AR8200,OLDE FASHIONED MARKET,"8434 PHOENIX AVE, FT SMITH, AR 72903"
02AR8200,OLDE FASHIONED FOODS MARKET,"8434 PHOENIX AVE, FORT SMITH, AR 72903-6143"
02AR9400,HEARTLINE HEALTH,"EAST POINT CENTRE, BATESVILLE, AR 72501"
02AZ0002,"WR GROUP, INC","2675 S 16TH ST, PHOENIX, AZ 85034"
02AZ0290,SPROUTS FARMERS MKT #047,"4800 S LANDING WAY, TUCSON, AZ 85714"
02AZ0304,SPROUTS FARMERS MKT #48,"37666 N GANTZEL ROAD, QUEEN CREEK, AZ 85140"
02AZ0304,SPROUTS FARMERS MKT #048,"37666 N GANTZEL ROAD, QUEEN CREEK, AZ 85140"
02AZ0800,SPROUTS FARMERS MKT #005,"1933 E BROWN ROAD, MESA, AZ 85203"
02AZ1049,SPROUTS FARMERS MKT #49,"9824 W MCDOWELL ROAD, PHOENIX, AZ 85037"
02AZ1111,SPROUTS FARMERS MKT #006,"8375 W THUNDERBIRD, PEORIA, AZ 85381"
02AZ1320,SPROUTS FARMERS MKT #024,"4645 E SPEEDWAY BLVD, TUCSON, AZ 85712"
02AZ1320A,SPROUTS FARMERS MKT #023,"4282 N 1ST AVE, TUCSON, AZ 85719"
02AZ1358,SPROUTS FARMERS MKT #046,"13650 N PRASADA PKWY, SURPRISE, AZ 85388"
02AZ1511A,SPROUTS FARMERS MKT #014,"2582 S VAL VISTA DR, GILBERT, AZ 85296"
02AZ1787,SPROUTS FARMERS MKT #021,"3860 W RIVER ROAD, TUCSON, AZ 85741"
02AZ1986,NATURES HEALTH SHOPPE,"973 W ELLIOT DR #2, CHANDLER, AZ 85225"
02AZ2150,SPROUTS FARMERS MKT #017,"1625 E GLENDALE AVE, PHOENIX, AZ 85020"
02AZ2650,SPROUTS FARMERS MKT #041,"3320 N 7TH AVE, PHOENIX, AZ 85013"
02AZ2700,SPROUTS FARMERS MKT #015,"2855 S ALMA SCHOOL RD, CHANDLER, AZ 85286"
02AZ3121,SPROUTS FARMERS MKT #012,"13759 W BELL RD, SURPRISE, AZ 85374"
02AZ3131,SPROUTS FARMERS MKT #008,"2824 E INDIAN SCHOOL RD #126, PHOENIX, AZ 85016"
02AZ3213,SPROUTS FARMERS MKT #032,"21181 S ELLSWORTH LOOP RD, QUEEN CREEK, AZ 85142"
02AZ3370,SPROUTS FARMERS MKT #042,"18755 S NOGALES HIGHWAY, GREEN VALLEY, AZ 85614"
02AZ3377,NATURAL PLANET,"72 ATHENS BOAT CLUB RD, DAWSONVILLE, GA 30534"
02AZ3377,NATURAL PLANET,"3787 STOCKTON HILL RD, KINGMAN, AZ 86409"
02AZ3377,NATURAL PLANET      CW,"3787 STOCKTON HILL ROAD; #A, KINGMAN, AZ 86409"
02AZ3377,NATURAL PLANET     CW,"3787 STOCKTON HILL RD, KINGMAN, AZ 86409"
02AZ3620,SPROUTS FARMERS MKT #039,"8787 N SCOTTSDALE RD STE 124, SCOTTSDALE, AZ 85253"
02AZ3710,SPROUTS FARMERS MKT #043,"1240 S SIGNAL BUTTE RD, MESA, AZ 85209"
02AZ4120,LEE S RITE WAY MARKET,"2910 W HWY 70 STE B, THATCHER, AZ 85552"
02AZ4177,SPROUTS FARMERS MKT #004,"12415 N TATUM BLVD, PHOENIX, AZ 85032"
02AZ4717,COUNTRY HEALTH MARKET,"PO BOX 8310, FORT MOHAVE, AZ 86427"
02AZ4896,SPROUTS FARMERS MKT #040,"7700 S 59TH AVE, LAVEEN, AZ 85339"
02AZ4900,SPROUTS FARMERS MKT #020,"1706 E SOUTHERN AVE, TEMPE, AZ 85282"
02AZ4949,SPROUTS FARMERS MKT #018,"245 EAST BELL RD #15, PHOENIX, AZ 85022"
02AZ5013,NG VITAMIN COTTAGE PI U115,"655 INDIAN SCHOOL RD, PHOENIX, AZ 85013"
02AZ5014,HEALTHY HABIT,"6029 N 7TH ST, PHOENIX, AZ 85014"
02AZ5014,HEALTHY HABIT HEALTH FD,"6029 N 7TH ST, PHOENIX, AZ 85014"
02AZ5022,VEGAS DISCOUNT NUTRITION,"2057 E MAULE AVE STE 102, LAS VEGAS, NV 89119"
02AZ5030,NG VITAMIN COTTAGE FS U057,"12612 W ALAMEDA PKWY, LAKEWOOD, CO 80228"
02AZ5044,SPROUTS FARMERS MKT #016,"4735 EAST RAY ROAD UNIT A001, PHOENIX, AZ 85044"
02AZ5054,SPROUTS STAGING CENTER #9471,"8455 N 90TH ST BLDG 200 STE 3, SCOTTSDALE, AZ 85258"
02AZ5139,SPROUTS FARMERS MKT #045,"20300 N JOHN WAYNE PKWY, MARICOPA, AZ 85139"
02AZ5204,SPROUTS FARMERS MKT #034,"2060 E BASELINE RD, MESA, AZ 85204"
02AZ5215,SPROUTS FARMERS MKT #037,"5918 E LONGBOW PKWY, MESA, AZ 85215"
02AZ5226,NG VITAMIN COTTAGE CN U116,"5805 W RAY RD, CHANDLER, AZ 85226"
02AZ5234,NG VITAMIN COTTAGE GB U120,"2151 E BASELINE RD, GILBERT, AZ 85234"
02AZ5254,NG VITAMIN COTTAGE SR U101,"13802 N SCOTTSDALE RD UNIT 110, SCOTTSDALE, AZ 85254"
02AZ5255,SPROUTS FARMERS MKT #029,"23269 N SCOTTSDALE RD, SCOTTSDALE, AZ 85255"
02AZ5295,NG VITAMIN COTTAGE GV U121,"1625 E WILLIAM'S FIELD RD, GILBERT, AZ 85295"
02AZ5310,SPROUTS FARMERS MKT #027,"6760 WEST DEER VALLEY ROAD, GLENDALE, AZ 85310"
02AZ5331,SPROUTS FARMERS MKT #044,"5355 E CAREFREE HWY, CAVE CREEK, AZ 85331"
02AZ5364,SPROUTS FARMERS MKT #035,"1590 S 4TH AVE, YUMA, AZ 85364"
02AZ5383,SPROUTS FARMERS MKT #031,"10134 WEST HAPPY VALLEY RD, PEORIA, AZ 85383"
02AZ5446,SPROUTS FARMERS MKT #011,"7665 N ORACLE RD, TUCSON, AZ 85704"
02AZ5704,NG VITAMIN COTTAGE TO U102,"6320 N ORACLE RD, TUCSON, AZ 85704"
02AZ5710,NG VITAMIN COTTAGE BK U093,"12612 W ALAMEDA PKWY, LAKEWOOD, CO 80228"
02AZ5716A,NG VITAMIN COTTAGE TB U113,"3016 E BROADWAY BLVD, TUCSON, AZ 85716"
02AZ5750,NG VITAMIN COTTAGE TR U125,"5600 E RIVER RD, TUCSON, AZ 85750"
02AZ6000A,SPROUTS FARMERS MKT #026,"1540 NORTH RIORDAN RANCH ROAD, FLAGSTAFF, AZ 86001"
02AZ6001,SPROUTS FARMERS MKT #019,"4402 N MILLER ROAD, SCOTTSDALE, AZ 85251"
02AZ6058,SPROUTS FARMERS MKT #51,"34750 N NORTH VALLEY PARKWAY, PHOENIX, AZ 85086"
02AZ6112,SPROUTS FARMERS MKT #022,"7877 E BROADWAY BLVD, TUCSON, AZ 85710"
02AZ6130,SPROUTS FARMERS MKT #007,"8040 N 19TH AVE, PHOENIX, AZ 85021"
02AZ6301,SPROUTS FARMERS MKT #036,"174 E SHELDON ST, PRESCOTT, AZ 86301"
02AZ6305,NG VITAMIN COTTAGE PS U058,"12612 W ALAMEDA PKWY, LAKEWOOD, CO 80228"
02AZ6336,NG VITAMIN COTTAGE SD U060,"12612 W ALAMEDA PKWY, LAKEWOOD, CO 80228"
02AZ6494,SIERRA VISTA VITAMINS,"2270 E. FRY BLVD STE 7E, SIERRA VISTA, AZ 85635"
02AZ6945A,SPROUTS FARMERS MKT #009,"4201 W THUNDERBIRD RD, PHOENIX, AZ 85053"
02AZ7040,SPROUTS FARMERS MKT #038,"931 E ELLIOT RD STE 110, TEMPE, AZ 85284"
02AZ7849,SPROUTS FARMERS MKT #010,"5225 E SOUTHERN AVE, MESA, AZ 85206"
02AZ7849,SPROUTS FARMERS MKT #010,"1668 N HIGLEY ROAD, GILBERT, AZ 85234"
02AZ8000A,SPROUTS FARMERS MKT #028,"5645 EAST SR69, PRESCOTT VALLEY, AZ 86314"
02AZ8182,HERBS HERB 1,"2026 MC CULLOCH BLVD #C, LAKE HAVASU CTY, AZ 86403"
02AZ8182,HERB'S HERBS,"2026 McCULLOCH BLVD.N., LAKE HAVASU CITY, AZ 86403"
02AZ8182B,HERBS AND MORE,"2565 NORTHERN AVE, KINGMAN, AZ 86409"
02AZ8224,BEE HEALTH E,"426 11TH ST, DOUGLAS, AZ 85607"
02AZ8251,MOUNT HOPE NATURAL FD,"853 S. MAIN ST, COTTONWOOD, AZ 86326"
02AZ8288,NATURES FINEST NAT FOODS,"1925 E BROWN RD STE 8, MESA, AZ 85203"
02AZ8522,SPROUTS FARMERS MKT #001,"1959 W RAY RD, CHANDLER, AZ 85224"
02AZ8989,SPROUTS FARMERS MKT #013,"1813 N DYSART RD, AVONDALE, AZ 85392"
02AZ8995,SPROUTS FARMERS MKT #033,"4065 S GILBERT RD, CHANDLER, AZ 85249"
02AZ9284,LIVING WELL,"1963 MCCULLOCH BLVD  #102, LAKE HAVASU CTY, AZ 86403"
02AZ9665A,SPROUTS FARMERS MKT #002,"9301 E SHEA BLVD #132, SCOTTSDALE, AZ 85260"
02CA0006A,VORTEX USA,"409 W WALNUT ST, GARDENA, CA 90248"
02CA0006B,DBA PLACERVILLE NAT FOODS COOP,"535 PLACERVILLE DR, PLACEVILLE, CA 95667"
02CA0016,OPTIMAL HEALTH CONCEPTS,"5528 HOLLY RIDGE DR, CAMARILLO, CA 93012"
02CA0021,MOTHER'S MARKET KITCHEN,"413 S ASSOCIATED ROAD, BREA, CA 92821"
02CA0022A,KATALINA HOEHN,"522 CIRVELO ST, WATSONVILLE, CA 95076"
02CA0023,HERBS OF MEXICO,"4133 WHITTIER BLVD, LOS ANGELES, CA 90023"
02CA0026,LASSENS 10-EP,"1631 W SUNSET BLVD, LOS ANGELES, CA 90026"
02CA0027,LASSENS 09-LF,"2080 HILLHURST AVE, LOS ANGELES, CA 90027"
02CA0027,LASSENS LOS FELIZ,"2080 HILLHURST AVE., LOS ANGELES, CA 90027"
02CA0038,MOTHER'S MARKET & KITCHEN - HLWD,"100 KALMUS DR, COSTA MESA, CA 92626"
02CA0040,GOLDTRAIL NF,"625 SOUTH HWY 49, JACKSON, CA 95642"
02CA0040A,SMITHS NATURAL FOODS,"16920-A ORANGE WAY, FONTANA, CA 92335"
02CA0042,NATURES KITCHEN,"412 S MAIN, YREKA, CA 96097"
02CA0043A,FINE VITAMIN AND HEALTH,"1510 W IMPERIAL HWY STE A, LA HABRA, CA 90631"
02CA0050,CIRCLE NUTRITION CENTER,"1819 XIMENO AVE, LONG BEACH, CA 90815"
02CA0052,ARCATA CO-OP,"811 I STREET, ARCATA, CA 95521"
02CA0073,"QUINCY NATURAL FOODS, INC","269 MAIN ST, QUINCY, CA 95971"
02CA0075,VALLEY HEALTH MILL,"1989 SANTA RITA ROAD, PLEASANTON, CA 94566"
02CA0076,HEALTH BY HEIDI,"1212 W HILLSDALE BLVD, SAN MATEO, CA 94403"
02CA0087,SPROUTS FARMERS MKT #248,"32413 HWY 79 SOUTH #300, TEMECULA, CA 92592"
02CA0094,SIMPLY WHOLESOME,"4508 W SLAUSON AVE, LOS ANGELES, CA 90043"
02CA0110,VILLAGE HEALTH FOODS,"1700 MCHENRY AVE, MODESTO, CA 95350"
02CA0111,LA CASA DE SALUD,"3203 24TH ST, SAN FRANCISCO, CA 94110"
02CA0112,BLUE LUPINE,"PO BOX 1115, BISHOP, CA 93514"
02CA0113,H & B SUPPLY,"2810 BEVERLY BLVD, LOS ANGELES, CA 90057"
02CA0115,JOSHUA TREE HEALTH FDS,"61693 29 PALMS HWY, JOSHUA TREE, CA 92252"
02CA0120,HOJAS,"21 WEST LAKE AVE, WATSONVILLE, CA 95076"
02CA0130,APPLE TREE HEALTH FOOD,"1910 N CHESTER AVE, BAKERSFIELD, CA 93308"
02CA0131,BURT'S HOMEOPATHIC PHARMACY,"2333 BORCHARD RD, THOUSAND OAKS, CA 91320"
02CA0136,BRIARPATCH CO-OP,"290 SIERRA COLLEGE DR, GRASS VALLEY, CA 95945"
02CA0140,FOOD MILL,"3033 MACARTHUR BLVD, OAKLAND, CA 94602"
02CA0149,HOJAS PARA MEDICINA #2,"811 E ALISAL ST, SALINAS, CA 93905"
02CA0160,MONTECITO NATURAL FOODS,"PO BOX 5082, MONTECITO, CA 93150"
02CA0163,FREMONT NATURAL FD STR,"5180 MOWRY AVENUE, FREMONT, CA 94538"
02CA0187,HERBS DIRECT STORES,"613 N PAULINA APT 3, CHICAGO, IL 60622"
02CA0197,LA SALUD,"103 E SANTA CLARA ST, SAN JOSE, CA 95113"
02CA0207,MOONRISE HERBS,"826 G STREET, ARCATA, CA 95521"
02CA0210,SPROUTS FARMERS MKT #430,"8142 MIRA MESA BLVD, SAN DIEGO, CA 92126"
02CA0218,SPROUTS FARMERS MKT #218,"24285 MAGIC MOUNTAIN PKWY, SANTA CLARITA, CA 91355"
02CA0220,HEALTH UNLIMITED,"3446 VILLAGE DRIVE, CASTRO VALLEY, CA 94546"
02CA0244,FASHION ENVY INC,"20462 CARREY RD, WALNUT, CA 91789"
02CA0254A,LAZY ACRES,"915 E 230TH ST, CARSON, CA 90745"
02CA0258,INSUNG JUNG,"12761 WESTERN AVE, GARDEN GROVE, CA 92841"
02CA0265,PASO ROBLES HEALTH FOODS,"1191 CRESTON SUITE 113, PASO ROBLES, CA 93446"
02CA0265A,NEW NATURALIFE,"818 NORTH HACIENDA BLVD, LA PUENTE, CA 91744"
02CA0274,NEW LEAF MKT #1202 CAPITOLA,"1101 PACIFIC AVE, SUITE 333, SANTA CRUZ, CA 95060"
02CA0292A,URBAN NUTRITION CENTER,"4224 LINCOLN BLVD, MARINA DEL REY, CA 90292"
02CA0307A,CORNUCOPIA NF,"2625 COFFEE RD SUITE V, MODESTO, CA 95355"
02CA0310,BRISTOL FARMS BEVERLY WEST 10,"9039 BEVERLY BLVD, W HOLLYWOOD, CA 90048"
02CA0335,SUNRISE HEALTH FOODS,"3071 W SHAW AVE STE 105, FRESNO, CA 92679"
02CA0356,SPROUTS FARMERS MKT #441,"29 S MILPAS ST, SANTA BARBARA, CA 93103"
02CA0380,BRATTY MODEL,"34 COLLINS ST, SAN FRANCISCO, CA 94118"
02CA0406,SPROUTS FARMERS MKT #406,"1028 E BROKAW RD, SAN JOSE, CA 95131"
02CA0411,SPROUTS FARMERS MKT #411,"8985 VENICE BLVD STE B-1, LOS ANGELES, CA 90034-3344"
02CA0413,SPROUTS FARMERS MKT #413,"2800 COCHRAN ST, SIMI VALLEY, CA 93065"
02CA0434,SPROUTS FARMERS MKT #434,"2735 MARCONI AVE STE 100, SACRAMENTO, CA 95821"
02CA0440,SPROUTS FARMERS MKT #241,"3630 GRAND AVE, CHINO HILLS, CA 91709"
02CA0449,SPROUTS FARMERS MKT #449,"26207 MISSION BOULEVARD, HAYWARD, CA 94544"
02CA0453,VITAMINS 4 U,"1637 E VALLEY PARKWAY #329, ESCONDIDO, CA 92027"
02CA0457,GREEN FARM NUTRITION,"4972 WEST PICO BLVD #104, LOS ANGELES, CA 90019"
02CA0474,SPROUTS FARMERS MKT #464,"5308 PACIFIC AVE STE #1040, STOCKTON, CA 95207"
02CA0475,SPROUTS FARMERS MKT #475,"375 N CAPITOL AVE STE 10, SAN JOSE, CA 95133"
02CA0477,SPROUTS FARMERS MKT #477,"11315 VENTURA BLVD, STUDIO CITY, CA 91604"
02CA0487,SPROUTS FARMERS MKT #487,"4600 E PACIFIC COAST HIGHWAY, LONG BEACH, CA 90804"
02CA0489,SPROUTS FARMERS MKT #489,"5200 E RAMON ROAD, PALM SPRINGS, CA 92264"
02CA0490,SPROUTS FARMERS MKT #490,"12060 LAKEWOOD BLVD, DOWNEY, CA 90242"
02CA0524,WARNER PLAZA PHARMACY,"11520 DONA EVITA DR, STUDIO CITY, CA 91604"
02CA0529,HEALING THERAPIES,"9578 MURRAY DR, LA MESA, CA 91942"
02CA0552,NATURAL CHOICE HEALTH FD,"9027 RIVERA RD, PICO RIVERA, CA 90660"
02CA0552,NATURAL CHOICE HEALTH FOODS,"9027 Rivera RD, PICO RIVERA, CA 90660"
02CA0564,ALL STAR HEALTH,"5252 ARGOSY AVENUE, HUNTINGTON BEACH, CA 92649"
02CA0584,HEALTHY LIFE VITAMINS,"6130 MEDAU PL, OAKLAND, CA 94611"
02CA0593,BRISTOL FARMS WESTCHESTER #04,"8448 LINCOLN BLVD, LOS ANGELES, CA 90045"
02CA0613,BETTER LIFE,"2380 N TUSTIN AV SUITE H, SANTA ANA, CA 92705"
02CA0625,SPROUTS FARMERS MKT #247,"3243 CAMINO DE LOS COCHES RD, CARLSBAD, CA 92009"
02CA0631A,SPROUTS FARMERS MKT #286,"1431 W IMPERIAL HWY, LA HABRA, CA 90631"
02CA0675,HEALTH FOOD CITY,"3651 E FOOTHILL, PASADENA, CA 91107"
02CA0703,SPROUTS FARMERS MKT #426,"11900 SOUTH STREET, CERRITOS, CA 90703"
02CA0755,MOTHER'S MARKET & KITCHEN,"2475 CHERRY AVE, SIGNAL HILL, CA 90755"
02CA0773,THE WHOLE WHEATERY,"44264 N 10TH ST WEST, LANCASTER, CA 93534"
02CA0773,WHOLE WHEATERY,"44264 N 10TH ST WEST, LANCASTER, CA 93534"
02CA0881,B ALIVE NATURAL FOODS,"AT HERNDON, FRESNO, CA 93710"
02CA1029,SPROUTS FARMERS MKT #215,"5660 SEPULVEDA BLVD, CULVER CITY, CA 90230"
02CA1036,SPROUTS FARMERS MKT #296,"550 CAMINO DE ESTRELLA UNIT C, SAN CLEMENTE, CA 92672"
02CA1049,SPROUTS FARMERS MKT #205,"835 W FOOTHILL BLVD, CLAREMONT, CA 91711"
02CA1095,SPROUTS FARMERS MKT #258,"225 EAST 17TH STREET, COSTA MESA, CA 92627"
02CA1096,SPROUTS FARMERS MKT #407,"150 E MAIN ST STE 150, ALHAMBRA, CA 91801"
02CA1103,SPROUTS FARMERS MKT #261,"920 FOOTHILLS BLVD, LA CANADA FLINTRIDGE, CA 91011"
02CA1107,SPROUTS FARMERS MKT #217,"39 N ROSEMEAD BLVD, PASADENA, CA 91107"
02CA1128,SPROUTS FARMERS MKT #403,"2245 YOSEMITE, EAGLE ROCK, CA 90041"
02CA1139A,SPROUTS FARMERS MKT #212,"9861 ADAMS AVE, HUNTNGTON BEACH, CA 92646"
02CA1158,SUES HEALTH,"56840 29 PALMS HWY, YUCCA VALLEY, CA 92284"
02CA1159,SPROUTS FARMERS MKT #288,"655 IRWIN ST, SAN RAFAEL, CA 94901"
02CA1160,SPROUTS FARMERS MKT #277,"6942 WARNER AVENUE, HUNTINGTON BEACH, CA 92647"
02CA1172,SPROUTS FARMERS MKT #216,"111 E EL CAMINO REAL, SUNNYVALE, CA 94087"
02CA1172A,SPROUTS FARMERS MKT #221,"7153 AMADOR PLAZA RD, DUBLIN, CA 94568"
02CA1192,SPROUTS FARMERS MKT #275,"1751 WESTWOOD BLVD, LOS ANGELES, CA 90024"
02CA1229,NATURES CHAPTER INC,"9110 UNION PARKWAY, ELK GROVE, CA 95624"
02CA1233,SPROUTS FARMERS MKT #244,"1447 S HARBOR BLVD, FULLERTON, CA 92832"
02CA1244,OC DISCOUNT NUTRITION,"1776 NEWPORT BLVD, COSTA MESA, CA 92627"
02CA1280,SPROUTS FARMERS MKT #454,"39258 10TH ST W, PALMDALE, CA 93551"
02CA1292,ARRIVE NUTRITION CENTER,"2627 PLEASANT HILL ROAD, PLEASANT HILL, CA 94523"
02CA1292,ARRIVE NUTRITION CENTER,"2638 PLEASANT HILL ROAD, PLEASANT HILL, CA 94523"
02CA1300,SPROUTS FARMERS MKT #223,"10821 ZELZAH AVE, GRANADA HILLS, CA 91344"
02CA1306,SPROUTS FARMERS MKT #469,"12450 AMARGOSA ROAD UNIT 1, VICTORVILLE, CA 92392"
02CA1307,SPROUTS FARMERS MKT #272,"6605 FALLBROOK AVE, WEST HILLS, CA 91307"
02CA1317,SPROUTS FARMERS MKT #443,"27281 NEWPORT RD, MENIFEE, CA 92584"
02CA1404,SPROUTS FARMERS MKT #404,"2325 SAND CREEK RD, BRENTWOOD, CA 94513"
02CA1427,SPROUTS FARMERS MKT #427,"313 MADONNA RD STE A, SAN LUIS OBISPO, CA 93405"
02CA1431,SPROUTS FARMERS MKT #461,"171 E YOSEMITE AVE, MERCED, CA 95340"
02CA1433A,NUGGET MARKET #9,"4500 POST STREET, EL DORADO HILLS, CA 95762"
02CA1475,NEW EARTH MARKET,"1475 THARP ROAD, YUBA CITY, CA 95993"
